locationid,year,month,temperature,latitude,longitude,elevation,station,countryid,country,latabs
JA000047401,2019,1,-4.15,45.417,141.683,12.0,WAKKANAI,JA,Japan,45.417
JA000047402,2019,1,-5.58,44.933,142.583,8.0,KITAMIESASHI,JA,Japan,44.933
JA000047404,2019,1,-4.19,44.367,141.7,10.0,HABORO,JA,Japan,44.367
JA000047405,2019,1,-5.79,44.583,142.967,15.0,OMU,JA,Japan,44.583
JA000047406,2019,1,-3.98,43.95,141.633,28.0,RUMOI,JA,Japan,43.95
JA000047407,2019,1,-7.15,43.767,142.367,116.0,ASAHIKAWA,JA,Japan,43.767
JA000047409,2019,1,-5.7,44.017,144.283,43.0,ABASHIRI,JA,Japan,44.017
JA000047411,2019,1,-2.92,43.183,141.017,26.0,OTARU,JA,Japan,43.183
JA000047412,2019,1,-3.05,43.067,141.333,26.0,SAPPORO,JA,Japan,43.067
JA000047413,2019,1,-5.02,43.217,141.783,51.0,IWAMIZAWA,JA,Japan,43.217
JA000047417,2019,1,-6.16,42.917,143.217,43.0,OBIHIRO,JA,Japan,42.917
JA000047418,2019,1,-5.35,42.95,144.433,16.0,KUSHIRO,JA,Japan,42.95
JA000047420,2019,1,-4.2,43.333,145.583,39.0,NEMURO,JA,Japan,43.333
JA000047421,2019,1,-2.0,42.8,140.217,38.0,SUTTSU,JA,Japan,42.8
JA000047423,2019,1,-1.66,42.317,140.983,49.0,MURORAN,JA,Japan,42.317
JA000047424,2019,1,-3.5,42.617,141.55,11.0,TOMAKOMAI,JA,Japan,42.617
JA000047426,2019,1,-2.65,42.167,142.783,37.0,URAKAWA,JA,Japan,42.167
JA000047428,2019,1,-0.54,41.867,140.117,12.0,ESASHI,JA,Japan,41.867
JA000047430,2019,1,-2.6,41.817,140.75,43.0,HAKODATE,JA,Japan,41.817
JA000047433,2019,1,-4.8,42.9,140.75,188.0,KUTCHAN,JA,Japan,42.9
JA000047435,2019,1,-5.25,44.35,143.35,16.0,MOMBETSU,JA,Japan,44.35
JA000047440,2019,1,-4.08,42.3,143.317,33.0,HIROO,JA,Japan,42.3
JA000047512,2019,1,1.25,39.067,141.717,41.0,OFUNATO,JA,Japan,39.067
JA000047520,2019,1,-0.65,38.75,140.317,102.0,SHINJO,JA,Japan,38.75
JA000047570,2019,1,0.0,37.483,139.917,213.0,WAKAMATSU,JA,Japan,37.483
JA000047574,2019,1,0.25,40.65,139.933,67.0,FUKAURA,JA,Japan,40.65
JA000047575,2019,1,-0.55,40.817,140.767,3.0,AOMORI,JA,Japan,40.817
JA000047576,2019,1,-0.95,41.283,141.217,5.0,MUTSU,JA,Japan,41.283
JA000047581,2019,1,-0.52,40.533,141.517,28.0,HACHINOHE,JA,Japan,40.533
JA000047582,2019,1,1.1,39.717,140.1,7.0,AKITA,JA,Japan,39.717
JA000047584,2019,1,-1.2,39.7,141.167,155.0,MORIOKA,JA,Japan,39.7
JA000047585,2019,1,0.71,39.65,141.967,46.0,MIYAKO,JA,Japan,39.65
JA000047587,2019,1,2.57,38.8,139.783,26.0,SHONAI,JA,Japan,38.8
JA000047588,2019,1,0.03,38.25,140.35,153.0,YAMAGATA,JA,Japan,38.25
JA000047590,2019,1,2.65,38.267,140.9,43.0,SENDAI,JA,Japan,38.267
JA000047592,2019,1,1.16,38.433,141.3,43.0,ISHINOMAKI,JA,Japan,38.433
JA000047597,2019,1,0.8,37.133,140.217,357.0,SHIRAKAWA,JA,Japan,37.133
JA000047598,2019,1,4.29,36.95,140.9,5.0,ONAHAMA,JA,Japan,36.95
JA000047600,2019,1,3.6,37.4,136.9,15.0,WAJIMA,JA,Japan,37.4
JA000047602,2019,1,4.45,38.033,138.233,17.0,AIKAWA,JA,Japan,38.033
JA000047604,2019,1,3.35,37.917,139.05,6.0,NIIGATA,JA,Japan,37.917
JA000047605,2019,1,4.5,36.583,136.633,33.0,KANAZAWA,JA,Japan,36.583
JA000047606,2019,1,3.2,36.8,137.05,13.0,FUSHIKI,JA,Japan,36.8
JA000047607,2019,1,3.41,36.717,137.2,17.0,TOYAMA,JA,Japan,36.717
JA000047610,2019,1,-0.25,36.667,138.2,419.0,NAGANO,JA,Japan,36.667
JA000047612,2019,1,2.46,37.1,138.25,18.0,TAKADA,JA,Japan,37.1
JA000047615,2019,1,2.97,36.55,139.867,140.0,UTSUNOMIYA,JA,Japan,36.55
JA000047616,2019,1,3.72,36.05,136.217,17.0,FUKUI,JA,Japan,36.05
JA000047617,2019,1,-1.14,36.15,137.25,561.0,TAKAYAMA,JA,Japan,36.15
JA000047618,2019,1,-0.23,36.25,137.967,611.0,MATSUMOTO,JA,Japan,36.25
JA000047620,2019,1,-0.79,36.05,138.117,762.0,SUWA,JA,Japan,36.05
JA000047622,2019,1,-3.3,36.35,138.55,1004.0,KARUIZAWA,JA,Japan,36.35
JA000047624,2019,1,4.6,36.4,139.067,113.0,MAEBASHI,JA,Japan,36.4
JA000047626,2019,1,4.53,36.15,139.383,31.0,KUMAGAYA,JA,Japan,36.15
