iso_code,location,region
AFG,Afghanistan,South Asia
ALB,Albania,Eastern Europe
DZA,Algeria,North Africa
AND,Andorra,Western Europe
AGO,Angola,Africa
AIA,Anguilla,Western Europe
ATG,Antigua and Barbuda,Caribbean
ARG,Argentina,South America
ARM,Armenia,Central Asia
ABW,Aruba,Caribbean
AUS,Australia,Oceania
AUT,Austria,Western Europe
AZE,Azerbaijan,Central Asia
BHS,Bahamas,West Asia
BHR,Bahrain,South Asia
BGD,Bangladesh,South Asia
BRB,Barbados,Caribbean
BLR,Belarus,Eastern Europe
BEL,Belgium,Western Europe
BLZ,Belize,Central America
BEN,Benin,Africa
BMU,Bermuda,Africa
BTN,Bhutan,South Asia
BOL,Bolivia,South America
BES,Bonaire Sint Eustatius and Saba,Caribbean
BIH,Bosnia and Herzegovina,Eastern Europe
BWA,Botswana,Africa
BRA,Brazil,South America
VGB,British Virgin Islands,Caribbean
BRN,Brunei,East Asia
BGR,Bulgaria,Eastern Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
KHM,Cambodia,East Asia
CMR,Cameroon,Africa
CAN,Canada,North America
CPV,Cape Verde,Africa
CYM,Cayman Islands,Caribbean
CAF,Central African Republic,Africa
TCD,Chad,Africa
CHL,Chile,South America
CHN,China,East Asia
COL,Colombia,South America
COM,Comoros,Africa
COG,Congo,Africa
CRI,Costa Rica,Central America
CIV,Cote d'Ivoire,Africa
HRV,Croatia,Eastern Europe
CUB,Cuba,Caribbean
CUW,Curacao,Caribbean
CYP,Cyprus,Eastern Europe
CZE,Czech Republic,Western Europe
COD,Democratic Republic of Congo,Africa
DNK,Denmark,Western Europe
DJI,Djibouti,Africa
DMA,Dominica,Caribbean
DOM,Dominican Republic,Caribbean
ECU,Ecuador,South America
EGY,Egypt,North Africa
SLV,El Salvador,Central America
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
EST,Estonia,Eastern Europe
ETH,Ethiopia,Africa
FRO,Faeroe Islands,Western Europe
FLK,Falkland Islands,South America
FJI,Fiji,Oceania
FIN,Finland,Western Europe
FRA,France,Western Europe
PYF,French Polynesia,Oceania
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,West Asia
DEU,Germany,Western Europe
GHA,Ghana,Africa
GIB,Gibraltar,Western Europe
GRC,Greece,Eastern Europe
GRL,Greenland,Western Europe
GRD,Grenada,Caribbean
GUM,Guam,Oceania
GTM,Guatemala,Central America
GGY,Guernsey,Western Europe
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HTI,Haiti,Caribbean
HND,Honduras,Central America
HKG,Hong Kong,East Asia
HUN,Hungary,Eastern Europe
ISL,Iceland,Western Europe
IND,India,South Asia
IDN,Indonesia,East Asia
IRN,Iran,West Asia
IRQ,Iraq,West Asia
IRL,Ireland,Western Europe
IMN,Isle of Man,Western Europe
ISR,Israel,West Asia
ITA,Italy,Western Europe
JAM,Jamaica,Caribbean
JPN,Japan,East Asia
JEY,Jersey,Western Europe
JOR,Jordan,West Asia
KAZ,Kazakhstan,Central Asia
KEN,Kenya,Africa
XKX,Kosovo,Eastern Europe
KWT,Kuwait,West Asia
KGZ,Kyrgyzstan,Central Asia
LAO,Laos,East Asia
LVA,Latvia,Eastern Europe
LBN,Lebanon,West Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,North Africa
LIE,Liechtenstein,Western Europe
LTU,Lithuania,Eastern Europe
LUX,Luxembourg,Western Europe
MKD,Macedonia,Eastern Europe
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,East Asia
MDV,Maldives,South Asia
MLI,Mali,Africa
MLT,Malta,Western Europe
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MEX,Mexico,Central America
MDA,Moldova,Eastern Europe
MCO,Monaco,Western Europe
MNG,Mongolia,East Asia
MNE,Montenegro,Eastern Europe
MSR,Montserrat,Caribbean
MAR,Morocco,North Africa
MOZ,Mozambique,Africa
MMR,Myanmar,East Asia
NAM,Namibia,Africa
NPL,Nepal,South Asia
NLD,Netherlands,Western Europe
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
NIC,Nicaragua,Central America
NER,Niger,Africa
NGA,Nigeria,Africa
MNP,Northern Mariana Islands,Oceania
NOR,Norway,Western Europe
OMN,Oman,West Asia
PAK,Pakistan,South Asia
PSE,Palestine,West Asia
PAN,Panama,Central America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
PER,Peru,South America
PHL,Philippines,East Asia
POL,Poland,Eastern Europe
PRT,Portugal,Western Europe
PRI,Puerto Rico,Caribbean
QAT,Qatar,West Asia
ROU,Romania,Eastern Europe
RUS,Russia,Eastern Europe
RWA,Rwanda,Africa
KNA,Saint Kitts and Nevis,Caribbean
LCA,Saint Lucia,Caribbean
VCT,Saint Vincent and the Grenadines,Caribbean
SMR,San Marino,Western Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,West Asia
SEN,Senegal,Africa
SRB,Serbia,Eastern Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,East Asia
SXM,Sint Maarten (Dutch part),Western Europe
SVK,Slovakia,Eastern Europe
SVN,Slovenia,Eastern Europe
SOM,Somalia,Africa
ZAF,South Africa,Africa
KOR,South Korea,East Asia
SSD,South Sudan,Africa
ESP,Spain,Western Europe
LKA,Sri Lanka,South Asia
SDN,Sudan,Africa
SUR,Suriname,South America
SWZ,Swaziland,Africa
SWE,Sweden,Western Europe
CHE,Switzerland,Western Europe
SYR,Syria,West Asia
TWN,Taiwan,East Asia
TJK,Tajikistan,Central Asia
TZA,Tanzania,Africa
THA,Thailand,East Asia
TLS,Timor,East Asia
TGO,Togo,Africa
TTO,Trinidad and Tobago,Caribbean
TUN,Tunisia,North Africa
TUR,Turkey,West Asia
TCA,Turks and Caicos Islands,Caribbean
UGA,Uganda,Africa
UKR,Ukraine,Eastern Europe
ARE,United Arab Emirates,West Asia
GBR,United Kingdom,Western Europe
USA,United States,North America
VIR,United States Virgin Islands,Caribbean
URY,Uruguay,South America
UZB,Uzbekistan,Central Asia
VAT,Vatican,Western Europe
VEN,Venezuela,South America
VNM,Vietnam,East Asia
ESH,Western Sahara,Africa
YEM,Yemen,West Asia
ZMB,Zambia,Africa
ZWE,Zimbabwe,Africa
